Nodes,DemandPairs,TreeType,DPType,Algorithm,Seed,Solvable,KernelSize,AlgTreeOps,AlgDPOps,AlgDPEdgeKeyOps,AlgDPEdgeValueOps,AlgTicksApplicability,AlgTicksModifying,AlgTimeApplicability,AlgTimeModifying,RR1Name,RR1ContractedEdges,RR1RemovedDPs,RR1ChangedDPs,RR1TreeOps,RR1DPOps,RR1DPEdgeKeyOps,RR1DPEdgeValueOps,RR1TicksApplicability,RR1TicksModifying,RR1TimeApplicability,RR1TimeModifying,RR2Name,RR2ContractedEdges,RR2RemovedDPs,RR2ChangedDPs,RR2TreeOps,RR2DPOps,RR2DPEdgeKeyOps,RR2DPEdgeValueOps,RR2TicksApplicability,RR2TicksModifying,RR2TimeApplicability,RR2TimeModifying,RR3Name,RR3ContractedEdges,RR3RemovedDPs,RR3ChangedDPs,RR3TreeOps,RR3DPOps,RR3DPEdgeKeyOps,RR3DPEdgeValueOps,RR3TicksApplicability,RR3TicksModifying,RR3TimeApplicability,RR3TimeModifying,RR4Name,RR4ContractedEdges,RR4RemovedDPs,RR4ChangedDPs,RR4TreeOps,RR4DPOps,RR4DPEdgeKeyOps,RR4DPEdgeValueOps,RR4TicksApplicability,RR4TicksModifying,RR4TimeApplicability,RR4TimeModifying,RR5Name,RR5ContractedEdges,RR5RemovedDPs,RR5ChangedDPs,RR5TreeOps,RR5DPOps,RR5DPEdgeKeyOps,RR5DPEdgeValueOps,RR5TicksApplicability,RR5TicksModifying,RR5TimeApplicability,RR5TimeModifying,RR6Name,RR6ContractedEdges,RR6RemovedDPs,RR6ChangedDPs,RR6TreeOps,RR6DPOps,RR6DPEdgeKeyOps,RR6DPEdgeValueOps,RR6TicksApplicability,RR6TicksModifying,RR6TimeApplicability,RR6TimeModifying,RR7Name,RR7ContractedEdges,RR7RemovedDPs,RR7ChangedDPs,RR7TreeOps,RR7DPOps,RR7DPEdgeKeyOps,RR7DPEdgeValueOps,RR7TicksApplicability,RR7TicksModifying,RR7TimeApplicability,RR7TimeModifying,RR8Name,RR8ContractedEdges,RR8RemovedDPs,RR8ChangedDPs,RR8TreeOps,RR8DPOps,RR8DPEdgeKeyOps,RR8DPEdgeValueOps,RR8TicksApplicability,RR8TicksModifying,RR8TimeApplicability,RR8TimeModifying
500,500,Prüfer,Random,GuoNiedermeierKernelisation,0,False,5,13212,538,29338,14212,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,68,0,0,40869,601,79655,9326,47053490,738829,00:00:04.7053490,00:00:00.0738829,UnitPath,27,463,0,9640,140335,23976,17619,31929,244973,00:00:00.0031929,00:00:00.0244973,DominatedEdge,400,0,0,46021,193069,226246,704347,1404936,332713427,00:00:00.1404936,00:00:33.2713504,DominatedPath,0,33,0,1404,4947,458,328,18496,992,00:00:00.0018496,00:00:00.0000992,DisjointPaths,0,0,0,49,44,0,0,382719,0,00:00:00.0382719,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,1,True,56,12101,541,27121,13101,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,24,0,0,24740,408,34522,5791,9739365,168785,00:00:00.9739365,00:00:00.0168785,UnitPath,11,177,0,2743,88551,7302,4297,20555,118958,00:00:00.0020555,00:00:00.0118958,DominatedEdge,409,0,0,57346,303821,276056,1558265,1892170,318062407,00:00:00.1892170,00:00:31.8062439,DominatedPath,0,231,0,55132,204727,6636,5760,140353,14759,00:00:00.0140353,00:00:00.0014759,DisjointPaths,0,0,0,2904,12052,0,0,81679,0,00:00:00.0081679,00:00:00.0000000,OverloadedEdge,0,0,0,66,217,0,0,79275,0,00:00:00.0079275,00:00:00.0000000,OverloadedCaterpillar,0,0,0,168,49,97,0,18588,0,00:00:00.0018588,00:00:00.0000000,OverloadedL3Leaves,0,0,0,57,48,56,0,42808,0,00:00:00.0042808,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,2,True,34,13290,553,29488,14290,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,25,0,0,31721,465,38930,7495,21056655,205238,00:00:02.1056655,00:00:00.0205238,UnitPath,19,373,0,6849,137197,19705,12503,13230,336461,00:00:00.0013230,00:00:00.0336461,DominatedEdge,422,0,0,65718,345080,280824,2040619,3227401,290624556,00:00:00.3227401,00:00:29.0624571,DominatedPath,0,86,0,10837,35688,1790,1452,29897,3514,00:00:00.0029897,00:00:00.0003514,DisjointPaths,0,0,0,1068,3731,0,0,36054,0,00:00:00.0036054,00:00:00.0000000,OverloadedEdge,0,0,0,70,121,0,0,1172,0,00:00:00.0001172,00:00:00.0000000,OverloadedCaterpillar,0,0,0,102,29,57,0,452,0,00:00:00.0000452,00:00:00.0000000,OverloadedL3Leaves,0,0,0,35,28,34,0,86,0,00:00:00.0000086,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,3,False,90,13912,532,30719,14912,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,44,0,0,38341,440,54884,9067,17946663,311669,00:00:01.7946663,00:00:00.0311669,UnitPath,10,238,0,4663,106341,12633,8256,7458,162705,00:00:00.0007458,00:00:00.0162705,DominatedEdge,356,0,0,67688,329785,271202,2080692,3838038,257565441,00:00:00.3838038,00:00:25.7565494,DominatedPath,0,202,0,25716,90551,9321,8547,75789,28963,00:00:00.0075789,00:00:00.0028963,DisjointPaths,0,0,0,3967,15360,0,0,55609,0,00:00:00.0055609,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,4,True,67,12258,523,27435,13258,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,41,0,0,30537,459,50232,6876,23080173,541923,00:00:02.3080173,00:00:00.0541923,UnitPath,8,284,0,5095,117598,12858,9216,13078,222157,00:00:00.0013078,00:00:00.0222157,DominatedEdge,384,0,0,50362,243806,262573,1561287,2874830,218124052,00:00:00.2874830,00:00:21.8124063,DominatedPath,0,151,0,22951,85486,4498,3938,94492,13232,00:00:00.0094492,00:00:00.0013232,DisjointPaths,0,0,0,2853,11115,0,0,62365,0,00:00:00.0062365,00:00:00.0000000,OverloadedEdge,0,0,0,71,166,0,0,1573,0,00:00:00.0001573,00:00:00.0000000,OverloadedCaterpillar,0,0,0,201,57,113,0,212,0,00:00:00.0000212,00:00:00.0000000,OverloadedL3Leaves,0,0,0,68,56,67,0,92,0,00:00:00.0000092,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,5,True,81,13252,529,29416,14252,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,36752,423,49757,8713,17266525,249927,00:00:01.7266525,00:00:00.0249927,UnitPath,6,108,0,2466,60725,6858,3864,6590,70771,00:00:00.0006590,00:00:00.0070771,DominatedEdge,374,0,0,58798,267734,276432,2402666,4002505,187713088,00:00:00.4002505,00:00:18.7713095,DominatedPath,0,315,0,80135,251185,13071,11901,181421,22194,00:00:00.0181421,00:00:00.0022194,DisjointPaths,0,0,0,4185,17017,0,0,55311,0,00:00:00.0055311,00:00:00.0000000,OverloadedEdge,0,0,0,71,190,0,0,1048,0,00:00:00.0001048,00:00:00.0000000,OverloadedCaterpillar,0,0,0,243,71,141,0,669,0,00:00:00.0000669,00:00:00.0000000,OverloadedL3Leaves,0,0,0,82,70,81,0,110,0,00:00:00.0000110,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,6,True,52,13835,523,30564,14835,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,82,0,0,46181,536,84248,10317,58070917,566241,00:00:05.8070917,00:00:00.0566241,UnitPath,11,376,0,10045,131101,23337,18998,4937,195566,00:00:00.0004937,00:00:00.0195566,DominatedEdge,355,0,0,48275,152354,230543,945455,1994159,112859995,00:00:00.1994159,00:00:11.2860002,DominatedPath,0,80,0,11032,34883,1960,1695,27532,5352,00:00:00.0027532,00:00:00.0005352,DisjointPaths,0,0,0,1426,4884,0,0,34371,0,00:00:00.0034371,00:00:00.0000000,OverloadedEdge,0,0,0,66,121,0,0,321,0,00:00:00.0000321,00:00:00.0000000,OverloadedCaterpillar,0,0,0,156,46,91,0,222,0,00:00:00.0000222,00:00:00.0000000,OverloadedL3Leaves,0,0,0,53,45,52,0,75,0,00:00:00.0000075,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,7,True,75,16421,532,35739,17421,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,43,0,0,38002,441,50729,8983,18534646,246692,00:00:01.8534646,00:00:00.0246692,UnitPath,6,79,0,2001,55302,5815,2939,8420,71787,00:00:00.0008420,00:00:00.0071787,DominatedEdge,376,0,0,57601,528744,273696,2397683,4215036,91630582,00:00:00.4215036,00:00:09.1630589,DominatedPath,0,362,0,51328,201392,14700,13287,127811,37423,00:00:00.0127811,00:00:00.0037423,DisjointPaths,0,0,0,3229,12449,0,0,54895,0,00:00:00.0054895,00:00:00.0000000,OverloadedEdge,0,0,0,88,163,0,0,501,0,00:00:00.0000501,00:00:00.0000000,OverloadedCaterpillar,0,0,0,225,61,121,0,236,0,00:00:00.0000236,00:00:00.0000000,OverloadedL3Leaves,0,0,0,76,60,75,0,112,0,00:00:00.0000112,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,8,True,77,14187,527,31291,15187,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,38426,463,53497,9096,25573266,407896,00:00:02.5573266,00:00:00.0407896,UnitPath,8,193,0,4661,93173,11942,8303,8933,225659,00:00:00.0008933,00:00:00.0225659,DominatedEdge,376,0,0,61362,319833,273063,1958192,4421896,50786262,00:00:00.4421896,00:00:05.0786268,DominatedPath,0,239,0,34917,129103,8740,7790,116528,22706,00:00:00.0116528,00:00:00.0022706,DisjointPaths,0,0,0,3692,14688,0,0,59166,0,00:00:00.0059166,00:00:00.0000000,OverloadedEdge,0,0,0,53,163,0,0,442,0,00:00:00.0000442,00:00:00.0000000,OverloadedCaterpillar,0,0,0,231,67,133,0,258,0,00:00:00.0000258,00:00:00.0000000,OverloadedL3Leaves,0,0,0,78,66,77,0,117,0,00:00:00.0000117,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,9,False,60,12570,534,28058,13570,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,27,0,0,29174,440,38839,6875,16034460,254673,00:00:01.6034460,00:00:00.0254673,UnitPath,14,257,0,4942,112453,12737,8609,10243,158333,00:00:00.0010243,00:00:00.0158333,DominatedEdge,399,0,0,64791,308728,284671,1823791,4576898,13406204,00:00:00.4576898,00:00:01.3406211,DominatedPath,0,182,0,30129,108140,4466,3748,104055,11239,00:00:00.0104055,00:00:00.0011239,DisjointPaths,0,0,0,2328,8906,0,0,41017,0,00:00:00.0041017,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
