Nodes,DemandPairs,TreeType,DPType,Algorithm,Seed,Solvable,KernelSize,AlgTreeOps,AlgDPOps,AlgDPEdgeKeyOps,AlgDPEdgeValueOps,AlgTicksApplicability,AlgTicksModifying,AlgTimeApplicability,AlgTimeModifying,RR1Name,RR1ContractedEdges,RR1RemovedDPs,RR1ChangedDPs,RR1TreeOps,RR1DPOps,RR1DPEdgeKeyOps,RR1DPEdgeValueOps,RR1TicksApplicability,RR1TicksModifying,RR1TimeApplicability,RR1TimeModifying,RR2Name,RR2ContractedEdges,RR2RemovedDPs,RR2ChangedDPs,RR2TreeOps,RR2DPOps,RR2DPEdgeKeyOps,RR2DPEdgeValueOps,RR2TicksApplicability,RR2TicksModifying,RR2TimeApplicability,RR2TimeModifying,RR3Name,RR3ContractedEdges,RR3RemovedDPs,RR3ChangedDPs,RR3TreeOps,RR3DPOps,RR3DPEdgeKeyOps,RR3DPEdgeValueOps,RR3TicksApplicability,RR3TicksModifying,RR3TimeApplicability,RR3TimeModifying,RR4Name,RR4ContractedEdges,RR4RemovedDPs,RR4ChangedDPs,RR4TreeOps,RR4DPOps,RR4DPEdgeKeyOps,RR4DPEdgeValueOps,RR4TicksApplicability,RR4TicksModifying,RR4TimeApplicability,RR4TimeModifying,RR5Name,RR5ContractedEdges,RR5RemovedDPs,RR5ChangedDPs,RR5TreeOps,RR5DPOps,RR5DPEdgeKeyOps,RR5DPEdgeValueOps,RR5TicksApplicability,RR5TicksModifying,RR5TimeApplicability,RR5TimeModifying,RR6Name,RR6ContractedEdges,RR6RemovedDPs,RR6ChangedDPs,RR6TreeOps,RR6DPOps,RR6DPEdgeKeyOps,RR6DPEdgeValueOps,RR6TicksApplicability,RR6TicksModifying,RR6TimeApplicability,RR6TimeModifying,RR7Name,RR7ContractedEdges,RR7RemovedDPs,RR7ChangedDPs,RR7TreeOps,RR7DPOps,RR7DPEdgeKeyOps,RR7DPEdgeValueOps,RR7TicksApplicability,RR7TicksModifying,RR7TimeApplicability,RR7TimeModifying,RR8Name,RR8ContractedEdges,RR8RemovedDPs,RR8ChangedDPs,RR8TreeOps,RR8DPOps,RR8DPEdgeKeyOps,RR8DPEdgeValueOps,RR8TicksApplicability,RR8TicksModifying,RR8TimeApplicability,RR8TimeModifying
500,500,Prüfer,Random,GuoNiedermeierKernelisation,0,False,5,13212,538,29338,14212,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,68,0,0,40869,601,79655,9326,101613,203240,00:00:00.0101613,00:00:00.0203240,UnitPath,27,463,0,9640,140335,23976,17619,38613,125875,00:00:00.0038613,00:00:00.0125875,DominatedEdge,400,0,0,46021,193069,226246,704347,1797793,59893383,00:00:00.1797793,00:00:05.9893392,DominatedPath,0,33,0,1404,4947,458,328,23010,1583,00:00:00.0023010,00:00:00.0001583,DisjointPaths,0,0,0,49,44,0,0,265485,0,00:00:00.0265485,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,1,True,56,12101,541,27121,13101,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,24,0,0,24740,408,34522,5791,37244,23192,00:00:00.0037244,00:00:00.0023192,UnitPath,11,177,0,2743,88551,7302,4297,10589,16182,00:00:00.0010589,00:00:00.0016182,DominatedEdge,409,0,0,57346,303821,276056,1558265,2939758,54559287,00:00:00.2939758,00:00:05.4559295,DominatedPath,0,231,0,55132,204727,6636,5760,215300,21751,00:00:00.0215300,00:00:00.0021751,DisjointPaths,0,0,0,2904,12052,0,0,53057,0,00:00:00.0053057,00:00:00.0000000,OverloadedEdge,0,0,0,66,217,0,0,92375,0,00:00:00.0092375,00:00:00.0000000,OverloadedCaterpillar,0,0,0,168,49,97,0,14494,0,00:00:00.0014494,00:00:00.0000000,OverloadedL3Leaves,0,0,0,57,48,56,0,22710,0,00:00:00.0022710,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,2,True,34,13290,553,29488,14290,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,25,0,0,31721,465,38930,7495,46224,22578,00:00:00.0046224,00:00:00.0022578,UnitPath,19,373,0,6849,137197,19705,12503,10075,53152,00:00:00.0010075,00:00:00.0053152,DominatedEdge,422,0,0,65718,345080,280824,2040619,3619341,48362324,00:00:00.3619341,00:00:04.8362332,DominatedPath,0,86,0,10837,35688,1790,1452,38271,5936,00:00:00.0038271,00:00:00.0005936,DisjointPaths,0,0,0,1068,3731,0,0,22895,0,00:00:00.0022895,00:00:00.0000000,OverloadedEdge,0,0,0,70,121,0,0,1493,0,00:00:00.0001493,00:00:00.0000000,OverloadedCaterpillar,0,0,0,102,29,57,0,487,0,00:00:00.0000487,00:00:00.0000000,OverloadedL3Leaves,0,0,0,35,28,34,0,196,0,00:00:00.0000196,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,3,False,90,13912,532,30719,14912,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,44,0,0,38341,440,54884,9067,56079,32046,00:00:00.0056079,00:00:00.0032046,UnitPath,10,238,0,4663,106341,12633,8256,10707,39293,00:00:00.0010707,00:00:00.0039293,DominatedEdge,356,0,0,67688,329785,271202,2080692,4175852,42007243,00:00:00.4175852,00:00:04.2007250,DominatedPath,0,202,0,25716,90551,9321,8547,61056,30734,00:00:00.0061056,00:00:00.0030734,DisjointPaths,0,0,0,3967,15360,0,0,34790,0,00:00:00.0034790,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,4,True,67,12258,523,27435,13258,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,41,0,0,30537,459,50232,6876,58023,33711,00:00:00.0058023,00:00:00.0033711,UnitPath,8,284,0,5095,117598,12858,9216,16367,50807,00:00:00.0016367,00:00:00.0050807,DominatedEdge,384,0,0,50362,243806,262573,1561287,4115726,35855582,00:00:00.4115726,00:00:03.5855600,DominatedPath,0,151,0,22951,85486,4498,3938,100341,21032,00:00:00.0100341,00:00:00.0021032,DisjointPaths,0,0,0,2853,11115,0,0,53204,0,00:00:00.0053204,00:00:00.0000000,OverloadedEdge,0,0,0,71,166,0,0,970,0,00:00:00.0000970,00:00:00.0000000,OverloadedCaterpillar,0,0,0,201,57,113,0,474,0,00:00:00.0000474,00:00:00.0000000,OverloadedL3Leaves,0,0,0,68,56,67,0,168,0,00:00:00.0000168,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,5,True,81,13252,529,29416,14252,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,36752,423,49757,8713,64378,30701,00:00:00.0064378,00:00:00.0030701,UnitPath,6,108,0,2466,60725,6858,3864,6796,15919,00:00:00.0006796,00:00:00.0015919,DominatedEdge,374,0,0,58798,267734,276432,2402666,4836155,28259662,00:00:00.4836155,00:00:02.8259670,DominatedPath,0,315,0,80135,251185,13071,11901,242853,42895,00:00:00.0242853,00:00:00.0042895,DisjointPaths,0,0,0,4185,17017,0,0,41540,0,00:00:00.0041540,00:00:00.0000000,OverloadedEdge,0,0,0,71,190,0,0,896,0,00:00:00.0000896,00:00:00.0000000,OverloadedCaterpillar,0,0,0,243,71,141,0,416,0,00:00:00.0000416,00:00:00.0000000,OverloadedL3Leaves,0,0,0,82,70,81,0,162,0,00:00:00.0000162,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,6,True,52,13835,523,30564,14835,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,82,0,0,46181,536,84248,10317,73488,48055,00:00:00.0073488,00:00:00.0048055,UnitPath,11,376,0,10045,131101,23337,18998,7673,57807,00:00:00.0007673,00:00:00.0057807,DominatedEdge,355,0,0,48275,152354,230543,945455,2748506,23288589,00:00:00.2748506,00:00:02.3288612,DominatedPath,0,80,0,11032,34883,1960,1695,60283,7168,00:00:00.0060283,00:00:00.0007168,DisjointPaths,0,0,0,1426,4884,0,0,20258,0,00:00:00.0020258,00:00:00.0000000,OverloadedEdge,0,0,0,66,121,0,0,266,0,00:00:00.0000266,00:00:00.0000000,OverloadedCaterpillar,0,0,0,156,46,91,0,184,0,00:00:00.0000184,00:00:00.0000000,OverloadedL3Leaves,0,0,0,53,45,52,0,106,0,00:00:00.0000106,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,7,True,75,16421,532,35739,17421,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,43,0,0,38002,441,50729,8983,72697,20223,00:00:00.0072697,00:00:00.0020223,UnitPath,6,79,0,2001,55302,5815,2939,10203,16848,00:00:00.0010203,00:00:00.0016848,DominatedEdge,376,0,0,57601,528744,273696,2397683,4311400,16704570,00:00:00.4311400,00:00:01.6704577,DominatedPath,0,362,0,51328,201392,14700,13287,266604,49604,00:00:00.0266604,00:00:00.0049604,DisjointPaths,0,0,0,3229,12449,0,0,58873,0,00:00:00.0058873,00:00:00.0000000,OverloadedEdge,0,0,0,88,163,0,0,374,0,00:00:00.0000374,00:00:00.0000000,OverloadedCaterpillar,0,0,0,225,61,121,0,207,0,00:00:00.0000207,00:00:00.0000000,OverloadedL3Leaves,0,0,0,76,60,75,0,191,0,00:00:00.0000191,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,8,True,77,14187,527,31291,15187,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,38426,463,53497,9096,75954,392890,00:00:00.0075954,00:00:00.0392890,UnitPath,8,193,0,4661,93173,11942,8303,10631,43650,00:00:00.0010631,00:00:00.0043650,DominatedEdge,376,0,0,61362,319833,273063,1958192,4786386,7496547,00:00:00.4786386,00:00:00.7496558,DominatedPath,0,239,0,34917,129103,8740,7790,117218,30459,00:00:00.0117218,00:00:00.0030459,DisjointPaths,0,0,0,3692,14688,0,0,41527,0,00:00:00.0041527,00:00:00.0000000,OverloadedEdge,0,0,0,53,163,0,0,454,0,00:00:00.0000454,00:00:00.0000000,OverloadedCaterpillar,0,0,0,231,67,133,0,304,0,00:00:00.0000304,00:00:00.0000000,OverloadedL3Leaves,0,0,0,78,66,77,0,162,0,00:00:00.0000162,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,9,False,60,12570,534,28058,13570,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,27,0,0,29174,440,38839,6875,45183,15271,00:00:00.0045183,00:00:00.0015271,UnitPath,14,257,0,4942,112453,12737,8609,11193,32176,00:00:00.0011193,00:00:00.0032176,DominatedEdge,399,0,0,64791,308728,284671,1823791,3853453,1562866,00:00:00.3853453,00:00:00.1562873,DominatedPath,0,182,0,30129,108140,4466,3748,110797,8371,00:00:00.0110797,00:00:00.0008371,DisjointPaths,0,0,0,2328,8906,0,0,38393,0,00:00:00.0038393,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
