Nodes,DemandPairs,TreeType,DPType,Algorithm,Seed,Solvable,KernelSize,AlgTreeOps,AlgDPOps,AlgDPEdgeKeyOps,AlgDPEdgeValueOps,AlgTicksApplicability,AlgTicksModifying,AlgTimeApplicability,AlgTimeModifying,RR1Name,RR1ContractedEdges,RR1RemovedDPs,RR1ChangedDPs,RR1TreeOps,RR1DPOps,RR1DPEdgeKeyOps,RR1DPEdgeValueOps,RR1TicksApplicability,RR1TicksModifying,RR1TimeApplicability,RR1TimeModifying,RR2Name,RR2ContractedEdges,RR2RemovedDPs,RR2ChangedDPs,RR2TreeOps,RR2DPOps,RR2DPEdgeKeyOps,RR2DPEdgeValueOps,RR2TicksApplicability,RR2TicksModifying,RR2TimeApplicability,RR2TimeModifying,RR3Name,RR3ContractedEdges,RR3RemovedDPs,RR3ChangedDPs,RR3TreeOps,RR3DPOps,RR3DPEdgeKeyOps,RR3DPEdgeValueOps,RR3TicksApplicability,RR3TicksModifying,RR3TimeApplicability,RR3TimeModifying,RR4Name,RR4ContractedEdges,RR4RemovedDPs,RR4ChangedDPs,RR4TreeOps,RR4DPOps,RR4DPEdgeKeyOps,RR4DPEdgeValueOps,RR4TicksApplicability,RR4TicksModifying,RR4TimeApplicability,RR4TimeModifying,RR5Name,RR5ContractedEdges,RR5RemovedDPs,RR5ChangedDPs,RR5TreeOps,RR5DPOps,RR5DPEdgeKeyOps,RR5DPEdgeValueOps,RR5TicksApplicability,RR5TicksModifying,RR5TimeApplicability,RR5TimeModifying,RR6Name,RR6ContractedEdges,RR6RemovedDPs,RR6ChangedDPs,RR6TreeOps,RR6DPOps,RR6DPEdgeKeyOps,RR6DPEdgeValueOps,RR6TicksApplicability,RR6TicksModifying,RR6TimeApplicability,RR6TimeModifying,RR7Name,RR7ContractedEdges,RR7RemovedDPs,RR7ChangedDPs,RR7TreeOps,RR7DPOps,RR7DPEdgeKeyOps,RR7DPEdgeValueOps,RR7TicksApplicability,RR7TicksModifying,RR7TimeApplicability,RR7TimeModifying,RR8Name,RR8ContractedEdges,RR8RemovedDPs,RR8ChangedDPs,RR8TreeOps,RR8DPOps,RR8DPEdgeKeyOps,RR8DPEdgeValueOps,RR8TicksApplicability,RR8TicksModifying,RR8TimeApplicability,RR8TimeModifying
500,500,Prüfer,Random,GuoNiedermeierKernelisation,0,False,5,13212,538,29338,14212,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,68,0,0,40869,601,79655,9326,150727,326894,00:00:00.0150727,00:00:00.0326894,UnitPath,27,463,0,9640,140335,23976,17619,62814,210317,00:00:00.0062814,00:00:00.0210317,DominatedEdge,400,0,0,46021,193069,226246,704347,3140135,85408749,00:00:00.3140135,00:00:08.5408759,DominatedPath,0,33,0,1404,4947,458,328,31731,2395,00:00:00.0031731,00:00:00.0002395,DisjointPaths,0,0,0,49,44,0,0,337966,0,00:00:00.0337966,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,1,True,56,12101,541,27121,13101,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,24,0,0,24740,408,34522,5791,68629,37952,00:00:00.0068629,00:00:00.0037952,UnitPath,11,177,0,2743,88551,7302,4297,23606,40522,00:00:00.0023606,00:00:00.0040522,DominatedEdge,409,0,0,57346,303821,276056,1558265,4288574,77734582,00:00:00.4288574,00:00:07.7734590,DominatedPath,0,231,0,55132,204727,6636,5760,353586,36200,00:00:00.0353586,00:00:00.0036200,DisjointPaths,0,0,0,2904,12052,0,0,77844,0,00:00:00.0077844,00:00:00.0000000,OverloadedEdge,0,0,0,66,217,0,0,74718,0,00:00:00.0074718,00:00:00.0000000,OverloadedCaterpillar,0,0,0,168,49,97,0,20448,0,00:00:00.0020448,00:00:00.0000000,OverloadedL3Leaves,0,0,0,57,48,56,0,32300,0,00:00:00.0032300,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,2,True,34,13290,553,29488,14290,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,25,0,0,31721,465,38930,7495,65837,31523,00:00:00.0065837,00:00:00.0031523,UnitPath,19,373,0,6849,137197,19705,12503,26025,73709,00:00:00.0026025,00:00:00.0073709,DominatedEdge,422,0,0,65718,345080,280824,2040619,6689658,67311857,00:00:00.6689658,00:00:06.7311865,DominatedPath,0,86,0,10837,35688,1790,1452,74659,6297,00:00:00.0074659,00:00:00.0006297,DisjointPaths,0,0,0,1068,3731,0,0,13322,0,00:00:00.0013322,00:00:00.0000000,OverloadedEdge,0,0,0,70,121,0,0,1242,0,00:00:00.0001242,00:00:00.0000000,OverloadedCaterpillar,0,0,0,102,29,57,0,372,0,00:00:00.0000372,00:00:00.0000000,OverloadedL3Leaves,0,0,0,35,28,34,0,143,0,00:00:00.0000143,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,3,False,90,13912,532,30719,14912,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,44,0,0,38341,440,54884,9067,105422,55843,00:00:00.0105422,00:00:00.0055843,UnitPath,10,238,0,4663,106341,12633,8256,20972,53150,00:00:00.0020972,00:00:00.0053150,DominatedEdge,356,0,0,67688,329785,271202,2080692,6638717,57930325,00:00:00.6638717,00:00:05.7930338,DominatedPath,0,202,0,25716,90551,9321,8547,138143,44863,00:00:00.0138143,00:00:00.0044863,DisjointPaths,0,0,0,3967,15360,0,0,66552,0,00:00:00.0066552,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,4,True,67,12258,523,27435,13258,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,41,0,0,30537,459,50232,6876,83902,32930,00:00:00.0083902,00:00:00.0032930,UnitPath,8,284,0,5095,117598,12858,9216,19130,64428,00:00:00.0019130,00:00:00.0064428,DominatedEdge,384,0,0,50362,243806,262573,1561287,4386121,50415644,00:00:00.4386121,00:00:05.0415670,DominatedPath,0,151,0,22951,85486,4498,3938,152926,21055,00:00:00.0152926,00:00:00.0021055,DisjointPaths,0,0,0,2853,11115,0,0,40289,0,00:00:00.0040289,00:00:00.0000000,OverloadedEdge,0,0,0,71,166,0,0,941,0,00:00:00.0000941,00:00:00.0000000,OverloadedCaterpillar,0,0,0,201,57,113,0,415,0,00:00:00.0000415,00:00:00.0000000,OverloadedL3Leaves,0,0,0,68,56,67,0,256,0,00:00:00.0000256,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,5,True,81,13252,529,29416,14252,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,36752,423,49757,8713,121044,35736,00:00:00.0121044,00:00:00.0035736,UnitPath,6,108,0,2466,60725,6858,3864,11953,21780,00:00:00.0011953,00:00:00.0021780,DominatedEdge,374,0,0,58798,267734,276432,2402666,6585862,40812954,00:00:00.6585862,00:00:04.0812970,DominatedPath,0,315,0,80135,251185,13071,11901,414654,66446,00:00:00.0414654,00:00:00.0066446,DisjointPaths,0,0,0,4185,17017,0,0,70352,0,00:00:00.0070352,00:00:00.0000000,OverloadedEdge,0,0,0,71,190,0,0,882,0,00:00:00.0000882,00:00:00.0000000,OverloadedCaterpillar,0,0,0,243,71,141,0,470,0,00:00:00.0000470,00:00:00.0000000,OverloadedL3Leaves,0,0,0,82,70,81,0,344,0,00:00:00.0000344,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,6,True,52,13835,523,30564,14835,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,82,0,0,46181,536,84248,10317,146640,114714,00:00:00.0146640,00:00:00.0114714,UnitPath,11,376,0,10045,131101,23337,18998,9917,101030,00:00:00.0009917,00:00:00.0101030,DominatedEdge,355,0,0,48275,152354,230543,945455,4838892,32335056,00:00:00.4838892,00:00:03.2335084,DominatedPath,0,80,0,11032,34883,1960,1695,68358,11621,00:00:00.0068358,00:00:00.0011621,DisjointPaths,0,0,0,1426,4884,0,0,25280,0,00:00:00.0025280,00:00:00.0000000,OverloadedEdge,0,0,0,66,121,0,0,625,0,00:00:00.0000625,00:00:00.0000000,OverloadedCaterpillar,0,0,0,156,46,91,0,324,0,00:00:00.0000324,00:00:00.0000000,OverloadedL3Leaves,0,0,0,53,45,52,0,225,0,00:00:00.0000225,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,7,True,75,16421,532,35739,17421,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,43,0,0,38002,441,50729,8983,109059,61628,00:00:00.0109059,00:00:00.0061628,UnitPath,6,79,0,2001,55302,5815,2939,28981,24990,00:00:00.0028981,00:00:00.0024990,DominatedEdge,376,0,0,57601,528744,273696,2397683,8918747,20307125,00:00:00.8918747,00:00:02.0307531,DominatedPath,0,362,0,51328,201392,14700,13287,304036,63493,00:00:00.0304036,00:00:00.0063493,DisjointPaths,0,0,0,3229,12449,0,0,75407,0,00:00:00.0075407,00:00:00.0000000,OverloadedEdge,0,0,0,88,163,0,0,761,0,00:00:00.0000761,00:00:00.0000000,OverloadedCaterpillar,0,0,0,225,61,121,0,392,0,00:00:00.0000392,00:00:00.0000000,OverloadedL3Leaves,0,0,0,76,60,75,0,282,0,00:00:00.0000282,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,8,True,77,14187,527,31291,15187,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,38426,463,53497,9096,110709,52271,00:00:00.0110709,00:00:00.0052271,UnitPath,8,193,0,4661,93173,11942,8303,14166,35471,00:00:00.0014166,00:00:00.0035471,DominatedEdge,376,0,0,61362,319833,273063,1958192,6798103,9804842,00:00:00.6798103,00:00:00.9804855,DominatedPath,0,239,0,34917,129103,8740,7790,191644,32177,00:00:00.0191644,00:00:00.0032177,DisjointPaths,0,0,0,3692,14688,0,0,59858,0,00:00:00.0059858,00:00:00.0000000,OverloadedEdge,0,0,0,53,163,0,0,2498,0,00:00:00.0002498,00:00:00.0000000,OverloadedCaterpillar,0,0,0,231,67,133,0,457,0,00:00:00.0000457,00:00:00.0000000,OverloadedL3Leaves,0,0,0,78,66,77,0,327,0,00:00:00.0000327,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,9,False,60,12570,534,28058,13570,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,27,0,0,29174,440,38839,6875,77502,23776,00:00:00.0077502,00:00:00.0023776,UnitPath,14,257,0,4942,112453,12737,8609,13888,49178,00:00:00.0013888,00:00:00.0049178,DominatedEdge,399,0,0,64791,308728,284671,1823791,4820326,2032565,00:00:00.4820326,00:00:00.2032582,DominatedPath,0,182,0,30129,108140,4466,3748,208301,20037,00:00:00.0208301,00:00:00.0020037,DisjointPaths,0,0,0,2328,8906,0,0,40794,0,00:00:00.0040794,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
